Quelle est la différence conceptuelle entre la « voix » et le « ton » de la marque ?,"La voix représente la personnalité constante, tandis que le ton varie selon la situation.",tonalite-communication
Où doit être positionné le logo d'un partenaire lors d'une opération de co-branding ?,Il doit être centré par rapport au logo LPEE.,structures-organisation
Comment est défini l'écosystème de la marque LPEE ?,Un ensemble d'unités et de centres interconnectés et interdépendants.,structures-organisation
À quel état d'esprit correspond le ton « empathique » de la marque ?,Un ton bienveillant qui valorise la dimension humaine et le collectif.,tonalite-communication
Quel ton est associé à la valeur de l'esprit d'entreprise ?,"Un ton dynamique, proactif et tourné vers l'avenir.",tonalite-communication
Qui doit impérativement réaliser la transcription en amazigh du logotype ?,Un cabinet spécialisé.,logo-identite
Pourquoi l'usage du symbole seul (sans le nom LPEE) est-il proscrit ?,Pour garantir l'intégrité et la reconnaissance institutionnelle de la marque.,logo-identite
Quelle couleur de texte faut-il utiliser sur un aplat de gradient moyen clair ?,Le blanc.,palette-couleurs
Quel est l'objectif premier du projet de charte graphique initié en 2025 ?,"Garantir une image cohérente, reconnaissable et fidèle aux valeurs de l'institution.",strategie-marque
"Dans les piliers stratégiques, quel rôle joue la digitalisation ?",Elle sert de levier de transformation.,strategie-marque
Peut-on décliner les couleurs secondaires en dégradé ?,"Non, elles doivent être utilisées uniquement en aplats unis.",palette-couleurs
Que signifie l'acronyme CERIT ?,Centre d’Etudes et de Recherches des infrastructures de transport.,structures-organisation
Que signifie l'acronyme LNM ?,Laboratoire National de Métrologie.,structures-organisation
Quel centre est spécialisé dans l'environnement et la pollution ?,Le CEREP.,structures-organisation
Quel centre s'occupe spécifiquement de l'hydraulique ?,Le CEH (Centre Expérimental de l’Hydraulique).,structures-organisation
Citez trois villes abritant des représentations régionales du LPEE.,"Laayoun, Marrakech et Agadir (entre autres).",structures-organisation
De quoi dépend l'ajustement du trait séparateur dans une association de logos ?,De la hauteur du logo le plus grand.,structures-organisation
"Entre le logo LPEE et le nom d'un centre spécialisé, quel élément doit rester principal ?",Le logo LPEE.,structures-organisation
Quel est le risque d'une typographie trop grande pour un titre ?,Elle empêche la rédaction d'un titre complet et supprime l'espace de respiration.,typographie
Sur quels types de fonds la version en réserve (blanche) du logo ne doit-elle pas être utilisée ?,Sur les fonds trop clairs ou les images à faible contraste.,logo-identite
Quel ton reflète la compétence technique et la crédibilité du LPEE ?,Le ton fiable.,tonalite-communication
Le LPEE se définit comme un partenaire stratégique pour quel type de croissance ?,Une croissance nationale fiable et durable.,strategie-marque
Quel pilier stratégique constitue le « fondement de l'avenir » du LPEE ?,Le développement des talents.,strategie-marque
Citez les trois langues utilisées dans la version officielle du logotype.,"L'arabe, l'amazigh et le français.",logo-identite
Quelles sont les caractéristiques visuelles de la police Montserrat ?,"Sans-serif, moderne, polyvalente et épurée.",typographie
Quel climat la valeur « Solidarité et confiance » cherche-t-elle à instaurer ?,"Un climat de respect, de partage des connaissances et de confiance mutuelle.",strategie-marque
Est-il autorisé de modifier le positionnement des éléments internes du logotype ?,"Non, le positionnement ne doit jamais être modifié ou inversé.",logo-identite
Que valorisent les images d'expertise et de technologie ?,"Les équipements, les essais en laboratoire et la rigueur scientifique.",univers-visuel
Quel ton de communication évite toute ambiguïté et reflète la sincérité ?,Le ton authentique.,tonalite-communication
Pourquoi le respect de la zone de protection du logo est-il crucial ?,Pour préserver l'équilibre et la lisibilité du logo dans toutes ses applications.,logo-identite
Que signifie l'acronyme CSTC ?,Centre Scientifique et Technique des Construction.,structures-organisation
Quel centre est dédié à l'étude des sols ?,Le CES (Centre Expérimental des Sols).,structures-organisation
